;id_modelo;nome_modelo;data_treino;metodo;roc_auc;tempo_de_treino;hyperparametros;path_to_pickle;colunas_selection;metodo_balanceamento;data_cleaning;categorizacao;confusao;roc_auc_validacao_final;confusao_validacao_final
0;3.2.1;RandomForest_Mod1;09/03/2022;RandomForest;0.7186129968876337;11.532388401031493;{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False};RandomForest_Mod1.pkl;todas;sem;preenchimentoZero;labelEnconder;"[[54231     0]
 [ 4811     0]]";0.7150876642370225;"[[45288     0]
 [ 3914     0]]"
1;3.2.2;LGBM_Mod1;09/03/2022;LGBM;0.7468589843854518;1.531658983230591;{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0};LGBM_Mod1.pkl;todas;sem;preenchimentoZero;labelEnconder;"[[54147    84]
 [ 4725    86]]";0.7494568684227225;"[[45232    56]
 [ 3843    71]]"
2;3.2.3;XGB_Mod1;09/03/2022;XGB;0.7366408857839364;8.895078134536742;{'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'enable_categorical': False, 'gamma': 0, 'gpu_id': -1, 'importance_type': None, 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 16, 'num_parallel_tree': 1, 'predictor': 'auto', 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'eval_metric': 'logloss'};XGB_Mod1.pkl;todas;sem;preenchimentoZero;labelEnconder;"[[54045   186]
 [ 4640   171]]";0.7380655645124821;"[[45142   146]
 [ 3785   129]]"
3;4.2.1;RandomForest_Mod2;09/03/2022;RandomForest;0.5430307269945847;1.8255728721618651;{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False};RandomForest_Mod2.pkl;todas;NearMiss;preenchimentoZero;labelEnconder;"[[19516 34715]
 [ 1263  3548]]";0.5373236844858325;"[[16232 29056]
 [ 1066  2848]]"
4;4.2.2;LGBM_Mod2;09/03/2022;LGBM;0.5473603892225418;0.6380805492401123;{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0};LGBM_Mod2.pkl;todas;NearMiss;preenchimentoZero;labelEnconder;"[[14611 39620]
 [  977  3834]]";0.5423986368014593;"[[12206 33082]
 [  834  3080]]"
5;4.2.3;XGB_Mod2;09/03/2022;XGB;0.5426203712709737;1.752185010910034;{'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'enable_categorical': False, 'gamma': 0, 'gpu_id': -1, 'importance_type': None, 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 16, 'num_parallel_tree': 1, 'predictor': 'auto', 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'eval_metric': 'logloss'};XGB_Mod2.pkl;todas;NearMiss;preenchimentoZero;labelEnconder;"[[14130 40101]
 [  947  3864]]";0.5362005540061688;"[[11733 33555]
 [  809  3105]]"
6;5.2.1;RandomForest_Mod3;09/03/2022;RandomForest;0.6562777513243778;32.42494959831238;{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False};RandomForest_Mod3.pkl;todas;SMOTE;preenchimentoZero;labelEnconder;"[[50112  4119]
 [ 3964   847]]";0.6510947857969485;"[[41763  3525]
 [ 3277   637]]"
7;5.2.2;LGBM_Mod3;09/03/2022;LGBM;0.7395212925135175;3.7163366317749023;{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0};LGBM_Mod3.pkl;todas;SMOTE;preenchimentoZero;labelEnconder;"[[54046   185]
 [ 4667   144]]";0.741226451059554;"[[45134   154]
 [ 3809   105]]"
8;5.2.3;XGB_Mod3;09/03/2022;XGB;0.5426203712709737;1.8424108028411865;{'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'enable_categorical': False, 'gamma': 0, 'gpu_id': -1, 'importance_type': None, 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 16, 'num_parallel_tree': 1, 'predictor': 'auto', 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'eval_metric': 'logloss'};XGB_Mod3.pkl;todas;SMOTE;preenchimentoZero;labelEnconder;"[[14130 40101]
 [  947  3864]]";0.5362005540061688;"[[11733 33555]
 [  809  3105]]"
9;6.2.1;RandomForest_Mod4;09/03/2022;RandomForest;0.7250900950318222;9.0288489818573;{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False};RandomForest_Mod4.pkl;Top20 Chi2;sem;preenchimentoZero;labelEnconder;"[[54231     0]
 [ 4811     0]]";0.7233113540890677;"[[45288     0]
 [ 3914     0]]"
10;6.2.2;LGBM_Mod4;09/03/2022;LGBM;0.7428815878476017;0.5833454608917237;{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0};LGBM_Mod4.pkl;Top20 Chi2;sem;preenchimentoZero;labelEnconder;"[[54167    64]
 [ 4745    66]]";0.7466102990934667;"[[45239    49]
 [ 3857    57]]"
11;6.2.3;XGB_Mod4;09/03/2022;XGB;0.7345392480869145;6.29150013923645;{'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'enable_categorical': False, 'gamma': 0, 'gpu_id': -1, 'importance_type': None, 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 16, 'num_parallel_tree': 1, 'predictor': 'auto', 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'eval_metric': 'logloss'};XGB_Mod4.pkl;Top20 Chi2;sem;preenchimentoZero;labelEnconder;"[[54048   183]
 [ 4673   138]]";0.7347951591616866;"[[45139   149]
 [ 3796   118]]"
12;7.2.1;RandomForest_Mod5;09/03/2022;RandomForest;0.5160395489948977;1.6291706562042236;{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False};RandomForest_Mod5.pkl;Top20 Chi2;NearMiss;preenchimentoZero;labelEnconder;"[[12177 42054]
 [  934  3877]]";0.5095037843082193;"[[10386 34902]
 [  793  3121]]"
13;7.2.2;LGBM_Mod5;09/03/2022;LGBM;0.5179805153931287;0.290923547744751;{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0};LGBM_Mod5.pkl;Top20 Chi2;NearMiss;preenchimentoZero;labelEnconder;"[[10613 43618]
 [  876  3935]]";0.5096586129698787;"[[ 8892 36396]
 [  741  3173]]"
14;7.2.3;XGB_Mod5;09/03/2022;XGB;0.5123158383331063;1.1642608642578125;{'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'enable_categorical': False, 'gamma': 0, 'gpu_id': -1, 'importance_type': None, 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 16, 'num_parallel_tree': 1, 'predictor': 'auto', 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'eval_metric': 'logloss'};XGB_Mod5.pkl;Top20 Chi2;NearMiss;preenchimentoZero;labelEnconder;"[[10455 43776]
 [  862  3949]]";0.5044381743476621;"[[ 8829 36459]
 [  747  3167]]"
15;8.2.1;RandomForest_Mod6;09/03/2022;RandomForest;0.6786336370936922;21.142140436172486;{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False};RandomForest_Mod6.pkl;Top20 Chi2;SMOTE;preenchimentoZero;labelEnconder;"[[41592 12639]
 [ 2509  2302]]";0.6705296684312435;"[[34785 10503]
 [ 2136  1778]]"
16;8.2.2;LGBM_Mod6;09/03/2022;LGBM;0.7030758714901126;1.1460175037384033;{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0};LGBM_Mod6.pkl;Top20 Chi2;SMOTE;preenchimentoZero;labelEnconder;"[[51441  2790]
 [ 4011   800]]";0.7047346987794552;"[[43019  2269]
 [ 3255   659]]"
17;8.2.3;XGB_Mod6;09/03/2022;XGB;0.6980777043579188;10.791785097122192;{'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'enable_categorical': False, 'gamma': 0, 'gpu_id': -1, 'importance_type': None, 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 16, 'num_parallel_tree': 1, 'predictor': 'auto', 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'eval_metric': 'logloss'};XGB_Mod6.pkl;Top20 Chi2;SMOTE;preenchimentoZero;labelEnconder;"[[51609  2622]
 [ 4023   788]]";0.7044407897557601;"[[43175  2113]
 [ 3254   660]]"
18;.10.2.1;LGBM_Mod7;09/03/2022;LGBM;0.7465899136192846;1.5641204357147216;{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0};LGBM_Mod7.pkl;todas;sem;preenchimentoZero;GetDummys;"[[54173    58]
 [ 4743    68]]";0.7484506189287667;"[[45247    41]
 [ 3861    53]]"
19;.11.2.1;LGBM_Mod8;09/03/2022;LGBM;0.7468299240374692;3.3474527835845946;{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0};LGBM_Mod8.pkl;todas;SMOTE;preenchimentoZero;GetDummys;"[[54104   127]
 [ 4706   105]]";0.7479117354151169;"[[45202    86]
 [ 3836    78]]"
20;.12.2.1;LGBM_Mod9;09/03/2022;LGBM;0.7429969131984921;0.589905071258545;{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0};LGBM_Mod9.pkl;todas;sem;preenchimentoZero;GetDummys;"[[54164    67]
 [ 4745    66]]";0.7467445390324047;"[[45250    38]
 [ 3862    52]]"
21;12.2.2;XGB_Mod9;09/03/2022;XGB;0.7341615133896395;4.343682909011841;{'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'enable_categorical': False, 'gamma': 0, 'gpu_id': -1, 'importance_type': None, 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 16, 'num_parallel_tree': 1, 'predictor': 'auto', 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'eval_metric': 'logloss'};XGB_Mod9.pkl;Top20 Chi2;sem;preenchimentoZero;GetDummys;"[[54045   186]
 [ 4657   154]]";0.7390767305900389;"[[45155   133]
 [ 3796   118]]"
22;.13.2.1;LGBM_Mod10;09/03/2022;LGBM;0.6915457625683485;1.068596649169922;{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0};LGBM_Mod10.pkl;todas;SMOTE;preenchimentoZero;GetDummys;"[[50294  3937]
 [ 3816   995]]";0.696598551194797;"[[42118  3170]
 [ 3119   795]]"
23;13.2.2;XGB_Mod10;09/03/2022;XGB;0.688716611976142;9.086531639099121;{'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'enable_categorical': False, 'gamma': 0, 'gpu_id': -1, 'importance_type': None, 'interaction_constraints': '', 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': '()', 'n_estimators': 100, 'n_jobs': 16, 'num_parallel_tree': 1, 'predictor': 'auto', 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': 'exact', 'validate_parameters': 1, 'verbosity': None, 'eval_metric': 'logloss'};XGB_Mod10.pkl;Top20 Chi2;SMOTE;preenchimentoZero;GetDummys;"[[50713  3518]
 [ 3912   899]]";0.6959787739436212;"[[42520  2768]
 [ 3156   758]]"
